feature,mean_importance
Hardness,-0.0014284593701675563
random_feature,1.927960426200137e-05
Sulfate,3.377065563416881e-05
Organic_carbon,0.00032858374617243945
Cluster,0.0007616551141104155
Dist_Cluster_2,0.002302218941903078
Trihalomethanes,0.004919900432595536
Chloramines,0.0052576500284110764
Conductivity,0.007144853974427945
Dist_Cluster_0,0.009956211886549382
ph,0.01260617631268406
Dist_Cluster_6,0.014134761360696602
Solids,0.014595075723312978
Dist_Cluster_8,0.014679559852424995
Turbidity,0.02175895465549309
Dist_Cluster_5,0.0315315367863088
Dist_Cluster_7,0.03774358465858494
Dist_Cluster_4,0.07315000166661612
Dist_Cluster_1,0.07618780565672423
Dist_Cluster_3,0.15784579030876322
