feature,weight
intercept,-0.4524394792216146
ph,-0.018864762481926943
Hardness,-0.19512362689566498
Solids,0.2563853646030481
Chloramines,0.1685623714248346
Sulfate,-0.23438663512577804
Conductivity,-0.03873754309238001
Organic_carbon,-0.33484228121317233
Trihalomethanes,-0.05300498674139819
Turbidity,0.00409533778862055
Dist_Cluster_0,0.3797253769747437
Dist_Cluster_1,-0.4649837833918132
Dist_Cluster_2,0.1562316067217824
Dist_Cluster_3,0.23247393958471577
Dist_Cluster_4,0.29842713121274683
Dist_Cluster_5,-0.21127381365554937
Dist_Cluster_6,-0.10643389336534068
Dist_Cluster_7,0.23821118305489153
Dist_Cluster_8,-0.34658623157242496
Cluster,-0.01287311603036765
random_feature,0.06576228254882655
