feature,mean_importance
Dist_Cluster_4,-0.0006415782180188457
Cluster,-0.0003581934889001381
random_feature,1.5658154290587588e-05
ph,0.001353739462006165
Turbidity,0.0017969300187747228
Organic_carbon,0.0024570099142683156
Sulfate,0.00399611153427204
Dist_Cluster_2,0.004742525132072295
Hardness,0.006480614500898141
Solids,0.007065723718230221
Dist_Cluster_1,0.0070672834666295255
Conductivity,0.009125091062191105
Trihalomethanes,0.009235577044799914
Chloramines,0.011907245673198674
Dist_Cluster_3,0.0238737659402682
Dist_Cluster_7,0.024547728905640297
Dist_Cluster_8,0.031224587142424088
Dist_Cluster_5,0.04898814289392874
Dist_Cluster_0,0.06244398469714481
Dist_Cluster_6,0.06954613553715235
