feature,weight
intercept,-0.4533028167463825
ph,0.09332044899561617
Hardness,-0.11388360956725209
Solids,0.2519299813739806
Chloramines,-0.21205489418414158
Sulfate,-0.12662807480139585
Conductivity,-0.269703305622335
Organic_carbon,-0.14492231542721282
Trihalomethanes,-0.15011452431791517
Turbidity,-0.2209949658734272
Dist_Cluster_0,-0.5097817438908805
Dist_Cluster_1,-0.1608940222152183
Dist_Cluster_2,-0.08597732450148285
Dist_Cluster_3,0.3351030557314699
Dist_Cluster_4,0.07794945098980562
Dist_Cluster_5,0.4789426821510657
Dist_Cluster_6,0.5979364535362071
Dist_Cluster_7,-0.27322135384922036
Dist_Cluster_8,-0.2814762012487643
Cluster,-0.06076299699536534
random_feature,-0.006352382378314167
