feature,mean_importance
Chloramines,-0.0009340897573493657
Cluster,-0.0006107718560939724
random_feature,-0.0005631300018870799
Dist_Cluster_2,-1.3969002906555338e-05
Turbidity,0.00010513210925877647
Dist_Cluster_7,0.00031931206585809056
Dist_Cluster_1,0.00032390285194290326
Conductivity,0.0006118624837756715
Dist_Cluster_4,0.0011674743519619834
Dist_Cluster_0,0.0015578112199906347
Organic_carbon,0.0016230946521448518
Dist_Cluster_5,0.0019738534997906453
Dist_Cluster_8,0.004008709613743644
Hardness,0.004732339291979115
Trihalomethanes,0.007238776575384342
ph,0.017360393727881875
Sulfate,0.023460457399084356
Solids,0.027233302393884905
Dist_Cluster_6,0.0385595679637029
Dist_Cluster_3,0.13288283547530338
